SITE_ID,SITE_FID,MR_FID,SE_FIELD_ID,SEASON,SETDATE,SUBSAMPLE,SUBSAMPLEPASS,SUBSAMPLEN,RECORDER,GEAR,GEAR_TYPE,TEMP,TURBIDITY,CONDUCTIVITY,DISSOLVED_OXYGEN,DISTANCE,WIDTH,NETRIVERMILE, STRUCTURENUMBER, USGS, RIVERSTAGE,DISCHARGE, U1,U2,U3,U4,U5,U6,U7,MACRO,MESO,HABITATRN,QC,MICRO_STRUCTURE, STRUCTURE_FLOW, STRUCTURE_MOD,SET_SITE_1,SET_SITE_2,SET_SITE_3,STARTTIME,STARTLATITUDE, STARTLONGITUDE,STOPTIME, STOPLATITUDE, STOPLONGITUDE,DEPTH1, VELOCITYBOT1, VELOCITY08_1, VELOCITY02OR06_1,DEPTH2, VELOCITYBOT2, VELOCITY08_2, VELOCITY02OR06_2,DEPTH3, VELOCITYBOT3, VELOCITY08_3, VELOCITY02OR06_3,WATERVEL, COBBLE, ORGANIC, SILT, SAND, GRAVEL, NO_TURBIDITY, NO_VELOCITY, COMMENTS
9277,,20201123-125749219-001,,MR,11/23/2020,1,1,N,RLR,TLC2,W,6.2,,,,40,,,,,,,,40,,,,,BS,ISB,CHNB,,,2,2,1,3,3,0,13:05:42,41.07672,-95.87045,9:58:53,,,6,,,,5.3,,,,3.8,,,,,,,,,,,,457/458
9277,,20201123-130825637-002,,MR,11/23/2020,2,1,N,RLR,TLC2,W,6.4,,,,40,,,,,,,,40,,,,,BS,TRMS,POOL,,,7,0,1,7,0,0,13:12:38,41.07575,-95.87204,10:04:27,,,4.4,,,,4,,,,4,,,,,,,,,,,,459/460
9277,,20201123-131526916-003,,MR,11/23/2020,3,1,N,RLR,TLC2,W,6.8,,,,40,,,,,,,,40,,,,,BS,TRMS,CHNB,,,7,0,1,3,3,0,13:19:27,41.07556,-95.8721,10:09:11,,,5,,,,4.6,,,,4,,,,,,,,,,,,461/462
0,F-1,20201123-133035240-004,,MR,11/23/2020,1,1,N,JRH,TLC2,W,7,,,,40,,,,,,,,40,,,,,BS,ISB,CHNB,,,2,2,1,3,1,0,13:33:18,41.05396,-95.87906,10:19:24,,,4.4,,,,4.6,,,,5.3,,,,,,,,,,,,-
0,F-1,20201123-133556476-005,,MR,11/23/2020,2,1,N,JRH,TLC2,W,7,,,,40,,,,,,,,40,,,,,BS,ISB,CHNB,,,2,2,1,3,1,0,13:40:46,41.05053,-95.8759,11:03:06,,,6.2,,,,5.6,,,,5.3,,,,,,,,,,,,-
0,F-1,20201123-134304619-006,,MR,11/23/2020,3,1,N,JRH,TLC2,W,7,,,,40,,,,,,,,40,,,,,BS,ISB,POOL,,,2,2,1,7,2,0,13:48:47,41.04881,-95.8738,10:43:32,,,7,,,,5.4,,,,4.4,,,,,,,,,,,,-
0,F-1,20201123-135252428-007,,MR,11/23/2020,4,1,N,MSO,TLC2,W,6.1,,,,40,,,,,,,,40,,,,,BS,ISB,POOL,,,2,2,1,1,0,0,13:56:15,41.04824,-95.87297,11:13:54,,,6.1,,,,4,,,,4.7,,,,,,,,,,,,-
0,F-1,20201123-135811277-008,,MR,11/23/2020,5,1,N,MSO,TLC2,W,6.9,,,,38,,,,,,,,40,,,,,BS,ISB,POOL,,,2,2,1,1,0,0,14:02:21,41.04754,-95.87199,11:27:15,,,3.5,,,,4.4,,,,4.7,,,,,,,,,,,,-
0,F-2,20201123-140637544-009,,MR,11/23/2020,1,1,N,JFK,TLC2,W,6.8,,,,40,,,,,,,,40,,,,,BS,ISB,POOL,,,2,2,1,7,2,0,14:13:52,41.04177,-95.86515,11:35:59,,,6,,,,4.2,,,,3.5,,,,,,,,,,,,-
0,F-2,20201123-141612151-010,,MR,11/23/2020,2,1,N,JFK,TLC2,W,6.1,,,,40,,,,,,,,40,,,,,BS,ISB,POOL,,,5,2,3,7,2,0,14:22:04,41.0402,-95.86251,11:43:05,,,5.9,,,,5.1,,,,3.6,,,,,,,,,,,,-
0,F-2,20201123-142443973-011,,MR,11/23/2020,3,1,N,SJF,TLC2,W,6,25,,,40,,,,,,,,40,,,,,BS,ISB,POOL,N,,2,2,2,3,1,0,14:30:49,41.03889,-95.8621,11:52:32,,,6.6,,,,3.5,0.46,0.6,0.84,3.4,,,,,,,,,,,,-
0,F-2,20201123-143348585-012,,MR,11/23/2020,4,1,N,SJF,TLC2,W,6.3,27,,,40,,,,,,,,40,,,,,BS,SCCL,CHNB,N,,8,2,3,3,3,0,14:44:45,41.02021,-95.86418,12:15:33,,,3.2,,,,4.5,0.42,0.58,0.43,6,,,,,,,,,,,,"chute exit   14 snsg, 10 pdsg"
0,F-2,20201123-144752984-013,,MR,11/23/2020,5,1,N,SJF,TLC2,W,6,,,,40,,,,,,,,40,,,,,BS,ISB,POOL,,,2,2,1,3,1,0,14:53:29,41.0195,-95.86488,12:30:28,,,6,,,,5.1,,,,4.7,,,,,,,,,,,Y,"no flows, eddy"
