SITE_ID,F_FID,MR_FID,PANEL_HOOK,BAIT,SPECIES,LENGTH,WEIGHT,COUNT_F,FIN_CURL,OTOLITH,RAY_SPINE,SCALE,FT_PREFIX,FLOY_TAG,M_R,COMMENTS
8681,20200427-151037711-002-006,20200427-151037711-002,30,W,BLCF,288,180,1,,,,,,,,-
8681,20200427-153314102-003-001,20200427-153314102-003,30,W,SNSG,555,650,1,,,,,,,,-
8681,20200427-153314102-003-002,20200427-153314102-003,30,W,SNSG,457,310,1,,,,,,,,-
8681,20200427-153314102-003-003,20200427-153314102-003,30,W,SNSG,478,350,1,,,,,,,,-
8681,20200427-153314102-003-004,20200427-153314102-003,30,W,SNSG,623,870,1,,,,,,,,-
8681,20200427-153314102-003-005,20200427-153314102-003,30,W,SNSG,651,1050,1,,,,,,,,-
8681,20200427-153314102-003-006,20200427-153314102-003,30,W,SNSG,580,750,1,,,,,,,,-
8681,20200427-153314102-003-007,20200427-153314102-003,30,W,SNSG,575,730,1,,,,,,,,-
8681,20200427-153314102-003-008,20200427-153314102-003,30,W,SNSG,497,480,1,,,,,,,,-
8681,20200427-153314102-003-009,20200427-153314102-003,30,W,SNSG,561,680,1,,,,,,,,-
8681,20200427-153314102-003-010,20200427-153314102-003,30,W,SNSG,504,480,1,,,,,,,,-
8681,20200427-153314102-003-011,20200427-153314102-003,30,W,SNSG,647,940,1,,,,,,,,-
8681,20200427-153314102-003-012,20200427-153314102-003,30,W,SNSG,512,460,1,,,,,,,,-
8681,20200427-153314102-003-013,20200427-153314102-003,30,W,SNSG,494,440,1,,,,,,,,-
8681,20200427-153314102-003-014,20200427-153314102-003,30,W,SNSG,606,910,1,,,,,C,100084,B,-
8681,20200427-153314102-003-015,20200427-153314102-003,30,W,SNSG,572,640,1,,,,,C,99411,B,-
8681,20200427-153314102-003-016,20200427-153314102-003,30,W,SNSG,570,720,1,,,,,,,,-
8681,20200427-153314102-003-017,20200427-153314102-003,30,W,SNSG,534,530,1,,,,,,,,-
8681,20200427-153314102-003-018,20200427-153314102-003,30,W,SNSG,634,970,1,,,,,,,,-
8681,20200427-153314102-003-019,20200427-153314102-003,30,W,FWDM,286,290,1,,,,,,,,-
8681,20200427-153314102-003-020,20200427-153314102-003,30,W,FWDM,497,1730,1,,,,,,,,-
8681,20200427-153314102-003-021,20200427-153314102-003,30,W,FWDM,438,1320,1,,,,,,,,-
8681,20200427-154004603-004-001,20200427-154004603-004,30,W,SNSG,,,1,,,,,,,,-
8681,20200427-154004603-004-002,20200427-154004603-004,30,W,CNCF,262,150,1,,,,,,,,-
8681,20200427-154004603-004-003,20200427-154004603-004,30,W,SNSG,513,430,1,,,,,,,,-
8681,20200427-154004603-004-004,20200427-154004603-004,30,W,SNSG,612,850,1,,,,,,,,-
8681,20200427-154004603-004-005,20200427-154004603-004,30,W,SNSG,550,690,1,,,,,,,,-
8681,20200427-154004603-004-006,20200427-154004603-004,30,W,SNSG,534,580,1,,,,,,,,-
8681,20200427-145954640-001-001,20200427-145954640-001,30,W,SNSG,622,860,1,,,,,,,,-
8681,20200427-145954640-001-002,20200427-145954640-001,30,W,SNSG,618,1090,1,,,,,,,,-
8681,20200427-145954640-001-003,20200427-145954640-001,30,W,SNSG,393,170,1,,,,,,,,-
8681,20200427-145954640-001-004,20200427-145954640-001,30,W,SNSG,592,760,1,,,,,,,,-
8681,20200427-145954640-001-005,20200427-145954640-001,30,W,SNSG,548,580,1,,,,,,,,-
8681,20200427-145954640-001-006,20200427-145954640-001,30,W,SNSG,,,1,,,,,,,,-
8681,20200427-145954640-001-007,20200427-145954640-001,30,W,SNSG,508,490,1,,,,,,,,-
8681,20200427-145954640-001-008,20200427-145954640-001,30,W,SNSG,473,340,1,,,,,,,,-
8681,20200427-145954640-001-009,20200427-145954640-001,30,W,SNSG,634,810,1,,,,,,,,-
8681,20200427-145954640-001-010,20200427-145954640-001,30,W,SNSG,612,820,1,,,,,,,,-
8681,20200427-145954640-001-011,20200427-145954640-001,30,W,SNSG,633,840,1,,,,,,,,-
8681,20200427-145954640-001-012,20200427-145954640-001,30,W,SNSG,570,670,1,,,,,,,,-
8681,20200427-145954640-001-013,20200427-145954640-001,30,W,SNSG,594,810,1,,,,,,,,-
8681,20200427-145954640-001-014,20200427-145954640-001,30,W,SNSG,598,810,1,,,,,,,,-
8681,20200427-145954640-001-015,20200427-145954640-001,30,W,SNSG,417,260,1,,,,,,,,-
8681,20200427-145954640-001-016,20200427-145954640-001,30,W,FWDM,341,470,1,,,,,,,,-
8681,20200427-145954640-001-017,20200427-145954640-001,30,W,CNCF,314,230,1,,,,,,,,-
8681,20200427-145954640-001-018,20200427-145954640-001,30,W,BLCF,317,280,1,,,,,,,,-
8681,20200427-145954640-001-019,20200427-145954640-001,30,W,BLCF,317,280,1,,,,,,,,-
8681,20200427-151037711-002-001,20200427-151037711-002,30,W,FWDM,426,1040,1,,,,,,,,-
8681,20200427-151037711-002-002,20200427-151037711-002,30,W,BLCF,522,1480,1,,,,,,,,-
8681,20200427-151037711-002-003,20200427-151037711-002,30,W,BLCF,265,140,1,,,,,,,,-
8681,20200427-151037711-002-004,20200427-151037711-002,30,W,BLCF,287,210,1,,,,,,,,-
8681,20200427-151037711-002-005,20200427-151037711-002,30,W,BLCF,266,160,1,,,,,,,,-
8681,20200427-154004603-004-007,20200427-154004603-004,30,W,SNSG,478,390,1,,,,,,,,-
8681,20200427-154004603-004-008,20200427-154004603-004,30,W,CNCF,334,300,1,,,,,,,,-
8681,20200427-155010564-005-001,20200427-155010564-005,30,W,SNSG,,,1,,,,,,,,-
8681,20200427-155010564-005-002,20200427-155010564-005,30,W,SNSG,569,690,1,,,,,,,,-
8681,20200427-155010564-005-003,20200427-155010564-005,30,W,SNSG,591,760,1,,,,,,,,-
8681,20200427-155010564-005-004,20200427-155010564-005,30,W,SNSG,576,660,1,,,,,,,,-
8681,20200427-155010564-005-005,20200427-155010564-005,30,W,SNSG,603,940,1,,,,,,,,-
8681,20200427-155010564-005-006,20200427-155010564-005,30,W,SNSG,555,630,1,,,,,,,,-
8681,20200427-155010564-005-007,20200427-155010564-005,30,W,SNSG,624,910,1,,,,,,,,-
8681,20200427-155010564-005-008,20200427-155010564-005,30,W,SNSG,606,730,1,,,,,,,,-
8681,20200427-155010564-005-009,20200427-155010564-005,30,W,SNSG,580,710,1,,,,,,,,-
8681,20200427-155010564-005-010,20200427-155010564-005,30,W,SNSG,607,710,1,,,,,,,,-
8681,20200427-155010564-005-011,20200427-155010564-005,30,W,SNSG,526,540,1,,,,,,,,-
8681,20200427-155010564-005-012,20200427-155010564-005,30,W,SNSG,625,810,1,,,,,,,,-
8681,20200427-155010564-005-013,20200427-155010564-005,30,W,SNSG,607,780,1,,,,,,,,-
8681,20200427-155010564-005-014,20200427-155010564-005,30,W,CNCF,384,470,1,,,,,,,,-
8681,20200427-155010564-005-015,20200427-155010564-005,30,W,CNCF,277,170,1,,,,,,,,-
8681,20200427-155010564-005-016,20200427-155010564-005,30,W,SNSG,596,780,1,,,,,,,,-
8681,20200427-155912625-006-001,20200427-155912625-006,30,W,SNSG,545,620,1,,,,,,,,-
8681,20200427-155912625-006-002,20200427-155912625-006,30,W,SNSG,582,640,1,,,,,,,,-
8681,20200427-155912625-006-003,20200427-155912625-006,30,W,SNSG,551,640,1,,,,,,,,-
8681,20200427-155912625-006-004,20200427-155912625-006,30,W,SNSG,687,1060,1,,,,,,,,-
8681,20200427-155912625-006-005,20200427-155912625-006,30,W,SNSG,545,680,1,,,,,,,,-
8681,20200427-155912625-006-006,20200427-155912625-006,30,W,SNSG,472,380,1,,,,,,,,-
8681,20200427-155912625-006-007,20200427-155912625-006,30,W,SNSG,614,980,1,,,,,,,,-
8681,20200427-155912625-006-008,20200427-155912625-006,30,W,SNSG,523,510,1,,,,,,,,-
8681,20200427-155912625-006-009,20200427-155912625-006,30,W,BLCF,263,160,1,,,,,,,,-
8681,20200427-155912625-006-010,20200427-155912625-006,30,W,SNSG,488,400,1,,,,,,,,-
8681,20200427-155912625-006-011,20200427-155912625-006,30,W,SNSG,535,640,1,,,,,,,,-
8681,20200427-155912625-006-012,20200427-155912625-006,30,W,SNSG,591,890,1,,,,,,,,-
8681,20200427-155912625-006-013,20200427-155912625-006,30,W,SNSG,604,890,1,,,,,,,,-
8681,20200427-155912625-006-014,20200427-155912625-006,30,W,SNSG,635,1000,1,,,,,,,,-
8681,20200427-155912625-006-015,20200427-155912625-006,30,W,SNSG,488,460,1,,,,,,,,-
8681,20200427-155912625-006-016,20200427-155912625-006,30,W,SNSG,676,1270,1,,,,,,,,-
8681,20200427-155912625-006-017,20200427-155912625-006,30,W,SNSG,591,750,1,,,,,,,,-
8681,20200427-155912625-006-018,20200427-155912625-006,30,W,SNSG,562,630,1,,,,,,,,-
8681,20200427-155912625-006-019,20200427-155912625-006,30,W,SNSG,510,450,1,,,,,,,,-
8681,20200427-155912625-006-020,20200427-155912625-006,30,W,SNSG,560,640,1,,,,,,,,-
8681,20200427-155912625-006-021,20200427-155912625-006,30,W,SNSG,495,370,1,,,,,,,,-
8681,20200427-155912625-006-022,20200427-155912625-006,30,W,SNSG,724,1900,1,,,,,,,,-
8681,20200427-155912625-006-023,20200427-155912625-006,30,W,BLCF,273,150,1,,,,,,,,-
8681,20200427-160902685-007-001,20200427-160902685-007,30,W,SNSG,551,610,1,,,,,,,,-
8681,20200427-160902685-007-002,20200427-160902685-007,30,W,SNSG,584,730,1,,,,,,,,-
8681,20200427-160902685-007-003,20200427-160902685-007,30,W,SNSG,633,790,1,,,,,,,,-
8681,20200427-160902685-007-004,20200427-160902685-007,30,W,SNSG,553,620,1,,,,,,,,-
8681,20200427-160902685-007-005,20200427-160902685-007,30,W,SNSG,514,540,1,,,,,,,,-
8681,20200427-160902685-007-006,20200427-160902685-007,30,W,SNSG,593,670,1,,,,,,,,-
8681,20200427-160902685-007-007,20200427-160902685-007,30,W,SNSG,522,530,1,,,,,,,,-
8681,20200427-160902685-007-008,20200427-160902685-007,30,W,SNSG,554,640,1,,,,,,,,-
8681,20200427-160902685-007-009,20200427-160902685-007,30,W,SNSG,525,570,1,,,,,O,14407,R,-
8681,20200427-160902685-007-010,20200427-160902685-007,30,W,SNSG,460,360,1,,,,,,,,-
8681,20200427-161930126-008-001,20200427-161930126-008,30,W,SNSG,581,660,1,,,,,,,,-
8681,20200427-161930126-008-002,20200427-161930126-008,30,W,SNSG,505,400,1,,,,,,,,-
8681,20200427-161930126-008-003,20200427-161930126-008,30,W,SNSG,651,1040,1,,,,,,,,-
8681,20200427-161930126-008-004,20200427-161930126-008,30,W,SNSG,498,430,1,,,,,,,,-
8681,20200427-161930126-008-005,20200427-161930126-008,30,W,SNSG,562,870,1,,,,,,,,-
8681,20200427-161930126-008-006,20200427-161930126-008,30,W,SNSG,558,630,1,,,,,,,,-
8681,20200427-161930126-008-007,20200427-161930126-008,30,W,SNSG,570,630,1,,,,,,,,-
8681,20200427-161930126-008-008,20200427-161930126-008,30,W,SNSG,589,750,1,,,,,,,,-
8681,20200427-161930126-008-009,20200427-161930126-008,30,W,SNSG,515,480,1,,,,,,,,-
8681,20200427-161930126-008-010,20200427-161930126-008,30,W,SNSG,549,620,1,,,,,,,,-
8681,20200427-161930126-008-011,20200427-161930126-008,30,W,SNSG,517,480,1,,,,,,,,-
8681,20200427-161930126-008-012,20200427-161930126-008,30,W,SNSG,410,220,1,,,,,,,,-
8681,20200427-161930126-008-013,20200427-161930126-008,30,W,SNSG,715,1570,1,,,,,,,,-
8681,20200427-161930126-008-014,20200427-161930126-008,30,W,STCT,135,,1,,,,,,,,-
