SITE_ID,SITE_FID,MR_FID,SEASON,SETDATE,SUBSAMPLE,SUBSAMPLEPASS,SUBSAMPLEN,RECORDER,GEAR,GEAR_TYPE,TEMP,TURBIDITY,CONDUCTIVITY,DISSOLVED_OXYGEN,DISTANCE,WIDTH,NETRIVERMILE, STRUCTURENUMBER, USGS, RIVERSTAGE,DISCHARGE, U1,U2,U3,U4,U5,U6,U7,MACRO,MESO,HABITATRN,QC,MICRO_STRUCTURE, STRUCTURE_FLOW, STRUCTURE_MOD,SET_SITE_1,SET_SITE_2,SET_SITE_3,STARTTIME,STARTLATITUDE, STARTLONGITUDE,STOPTIME, STOPLATITUDE, STOPLONGITUDE,DEPTH1, VELOCITYBOT1, VELOCITY08_1, VELOCITY02OR06_1,DEPTH2, VELOCITYBOT2, VELOCITY08_2, VELOCITY02OR06_2,DEPTH3, VELOCITYBOT3, VELOCITY08_3, VELOCITY02OR06_3,WATERVEL, COBBLE, ORGANIC, SILT, SAND, GRAVEL, NO_TURBIDITY, NO_VELOCITY, COMMENTS
8913,,20200420-142851750-001,ST,04/20/2020,1,1,N,JDB,TLC2,S,8.6,,,,40,,398.9,423.88,,,,,40,34,,,,,CHXO,POOL,,,2,3,1,7,2,0,14:35:14,39.34979,-94.90946,10:03:07,,,8.5,,,,4.4,,,,3.4,,,,,,,,,,,,-
8913,,20200420-143935980-002,ST,04/20/2020,2,1,N,JDB,TLC2,S,8.6,,,,40,,398.5,423.66,,,,,40,11,,,,,CHXO,CHNB,,,2,3,1,5,1,0,14:47:00,39.34517,-94.90878,10:11:01,,,4.3,,,,5.3,,,,5.5,,,,,,,,,,,,-
8913,,20200420-145141931-003,ST,04/20/2020,3,1,N,JDB,TLC2,S,8.6,,,,40,,398.4,423.55,,,,,40,37,,,,,CHXO,POOL,,,1,2,3,1,2,0,15:00:04,39.34233,-94.91097,10:19:46,,,7.4,,,,5.7,,,,5.4,,,,,,,,,,,,-
8913,,20200420-150407102-004,ST,04/20/2020,4,1,N,JDB,TLC2,S,8.6,,,,40,,398.2,323.5-A,,,,,40,34,,,,,CHXO,POOL,,,1,2,3,1,2,0,15:11:25,39.34,-94.91037,10:28:25,,,8.8,,,,2.8,,,,4.5,,,,,,,,,,,,-
8913,,20200420-151430203-005,ST,04/20/2020,5,1,N,JDB,TLC2,S,8.6,,,,40,,398.1,423.4,,,,,40,32,,,,,CHXO,POOL,,,2,3,3,1,4,0,15:20:24,39.33793,-94.90954,10:37:16,,,9.1,,,,7.6,,,,7.1,,,,,,,,,,,,-
8913,,20200420-152352724-006,ST,04/20/2020,6,1,N,JDB,TLC2,S,8.7,,,,35,,397.9,423.4,,,,,40,18,,,,,ISB,CHNB,,,2,3,3,3,5,0,15:30:10,39.33507,-94.90983,10:48:02,,,4.7,,,,5.4,,,,6.0,,,,,,,,,,,,-
8913,,20200420-153344295-007,ST,04/20/2020,7,1,N,JDB,TLC2,S,8.7,,,,40,,397.4,422.7,,,,,40,33,,,,,CHXO,POOL,,,1,2,3,1,2,0,15:42:16,39.3289,-94.90731,11:13:55,,,5.0,,,,7.7,,,,5.3,,,,,,,,,,,,-
8913,,20200420-154539686-008,ST,04/20/2020,8,1,R,JDB,TLC2,S,8.7,,,,40,,397.3,422.55,,,,,40,31,,,,,CHXO,POOL,,,2,2,3,1,2,0,15:53:54,39.32706,-94.90702,11:33:29,,,12.4,,,,13.6,,,,8.5,,,,,,,,,,,,-
8911,,20200421-132823510-009,ST,04/21/2020,1,1,N,JJW,TLC2,S,9.8,,,,40,,411.9,437.4,,,,,40,26,,,,,CHXO,POOL,,,1,2,1,1,4,0,13:33:49,39.44911,-95.0012,10:07:44,,,9.7,,,,8.2,,,,7.5,,,,,,,,,,,,-
8911,,20200421-133926680-010,ST,04/21/2020,2,1,N,JJW,TLC2,S,9.8,,,,40,,411.8,439.0,,,,,40,,,,,,CHXO,POOL,,,2,2,1,1,5,0,13:43:47,39.44826,-95.00029,10:16:53,,,13.0,,,,6.0,,,,4.3,,,,,,,,,,,,-
