SITE_ID,SITE_FID,SITE_YEAR,FIELDOFFICE_ID,FIELD_OFFICE,PROJECT_ID,PROJECT,SEGMENT_ID,SEGMENT,SEASON_ID,SEASON,BEND,BENDRN,BEND_RIVER_MILE,COMMENTS
8886,,2020,MO,MO - Missouri Department of Conservation,1,1 - Pallid Sturgeon Population Assessment,10,10 - Kansas River confluence to Grand River confluence,MR,MR - Mark Recapture,0,R,0,-
8693,,2020,MO,MO - Missouri Department of Conservation,1,1 - Pallid Sturgeon Population Assessment,10,10 - Kansas River confluence to Grand River confluence,MR,MR - Mark Recapture,1,R,253.3,-
8692,,2020,MO,MO - Missouri Department of Conservation,1,1 - Pallid Sturgeon Population Assessment,10,10 - Kansas River confluence to Grand River confluence,MR,MR - Mark Recapture,2,R,257.3,-
8691,,2020,MO,MO - Missouri Department of Conservation,1,1 - Pallid Sturgeon Population Assessment,10,10 - Kansas River confluence to Grand River confluence,MR,MR - Mark Recapture,8,R,271.9,-
8690,,2020,MO,MO - Missouri Department of Conservation,1,1 - Pallid Sturgeon Population Assessment,10,10 - Kansas River confluence to Grand River confluence,MR,MR - Mark Recapture,10,R,275.7,-
8905,,2020,MO,MO - Missouri Department of Conservation,1,1 - Pallid Sturgeon Population Assessment,10,10 - Kansas River confluence to Grand River confluence,MR,MR - Mark Recapture,11,R,279.9,-
8689,,2020,MO,MO - Missouri Department of Conservation,1,1 - Pallid Sturgeon Population Assessment,10,10 - Kansas River confluence to Grand River confluence,MR,MR - Mark Recapture,12,R,282.4,-
8688,,2020,MO,MO - Missouri Department of Conservation,1,1 - Pallid Sturgeon Population Assessment,10,10 - Kansas River confluence to Grand River confluence,MR,MR - Mark Recapture,18,R,304.6,-
8687,,2020,MO,MO - Missouri Department of Conservation,1,1 - Pallid Sturgeon Population Assessment,10,10 - Kansas River confluence to Grand River confluence,MR,MR - Mark Recapture,22,R,318,-
8686,,2020,MO,MO - Missouri Department of Conservation,1,1 - Pallid Sturgeon Population Assessment,10,10 - Kansas River confluence to Grand River confluence,MR,MR - Mark Recapture,23,R,319.5,-
