T_FID,SE_FIELD_ID,BEND,RADIO_TAG_NUM,FREQUENCY_ID_CODE,CAPTURE_DATE,CAPTURE_LATITUDE,CAPTURE_LONGITUDE,POSITION_CONFIDENCE,MACRO_ID,MESO_ID,DEPTH,TEMP,CONDUCTIVITY,TURBIDITY,SILT,SAND,GRAVEL,COMMENTS
20200427-101625410-001-001,20200427-101625410-001,14,58903,1,10:55:01,42.23348,-96.33729,3,,,,,,,,,,710.9
20200427-101625410-001-002,20200427-101625410-001,21,1452,5,13:45:37,42.05522,-96.27704,3,,,,,,,,,,695.3
20200427-101625410-001-003,20200427-101625410-001,23,59358,1,14:38:21,42.00435,-96.24279,3,,,,,,,,,,690.9
20200428-090718884-002-001,20200428-090718884-002,23,59358,1,9:51:14,42.00446,-96.24265,3,,,,,,,,,,690.9
20200428-090718884-002-002,20200428-090718884-002,26,19531,1,11:09:18,41.97338,-96.14398,3,,,,,,,,,,684.7
20200428-090718884-002-003,20200428-090718884-002,33,58902,1,13:40:50,41.81896,-96.107,3,,,,,,,,,,671.6
20200428-090718884-002-004,20200428-090718884-002,34,1390,5,14:05:46,41.80235,-96.06785,3,,,,,,,,,,669.2
20200429-083732474-003-001,20200429-083732474-003,5,59354,1,11:14:30,40.88132,-95.81371,3,,,,,,,,,,580.4
20200429-083732474-003-002,20200429-083732474-003,7,19526,1,11:59:31,40.82376,-95.83973,3,,,,,,,,,,575.1
20200430-085329275-004-001,20200430-085329275-004,16,1405,5,11:18:58,40.55928,-95.76627,3,,,,,,,,,,550.7
20200501-084730389-005-001,20200501-084730389-005,,19540,1,11:19:21,40.18295,-95.47658,3,,,,,,,,,,510.2
20200502-093749468-006-001,20200502-093749468-006,,1390,5,10:49:10,41.80268,-96.06758,3,,,,,,,,,,669.3
20200502-093749468-006-002,20200502-093749468-006,,1454,5,12:14:04,41.71468,-96.09332,3,,,,,,,,,,662.3
20200502-093749468-006-003,20200502-093749468-006,,1460,5,12:25:57,41.70352,-96.0998,,,,,,,,,,,661.4
20200503-092846539-007-001,20200503-092846539-007,,59358,1,9:39:19,42.00508,-96.24304,3,,,,,,,,,,690.9
20200503-132558038-008-001,20200503-132558038-008,,19541,1,13:33:01,42.08019,-96.27716,3,,,,,,,,,,697.1
20200503-132558038-008-002,20200503-132558038-008,,19541,1,13:52:46,42.08131,-96.27808,2,,,,,,,,,,697.2
20200503-132558038-008-003,20200503-132558038-008,,19541,1,13:56:36,42.08125,-96.27812,1,,,,,,,,,,697.2
20200503-132558038-008-004,20200503-132558038-008,,19541,1,14:41:56,42.08312,-96.27718,2,,,,,,,,,,697.3
20200503-132558038-008-005,20200503-132558038-008,,19541,1,14:56:16,42.08353,-96.27687,2,,,,,,,,,,697.3
20200503-132558038-008-006,20200503-132558038-008,,19541,1,14:57:25,42.08357,-96.27681,1,,,,,,,,,,697.4
20200503-132558038-008-007,20200503-132558038-008,,19541,1,15:16:35,42.08421,-96.27642,2,,,,,,,,,,697.4
20200503-132558038-008-008,20200503-132558038-008,,19541,1,15:49:23,42.08581,-96.27531,2,,,,,,,,,,697.5
20200503-132558038-008-009,20200503-132558038-008,,19541,1,15:53:02,42.08594,-96.27524,2,,,,,,,,,,697.5
20200503-132558038-008-010,20200503-132558038-008,,19541,1,15:54:01,42.08594,-96.27525,1,,,,,,,,,,697.5
