T_FID,SE_FIELD_ID,BEND,RADIO_TAG_NUM,FREQUENCY_ID_CODE,CAPTURE_DATE,CAPTURE_LATITUDE,CAPTURE_LONGITUDE,POSITION_CONFIDENCE,MACRO_ID,MESO_ID,DEPTH,TEMP,CONDUCTIVITY,TURBIDITY,SILT,SAND,GRAVEL,COMMENTS
20200421-110926851-001-001,20200421-110926851-001,21,12345,1,11:10:14,0,0,3,DEND,DTWT,6,43,43,32,65,33,2,-
20200421-110926851-001-002,20200421-110926851-001,23,34567,1,11:11:27,0,0,3,CHXO,DTWT,2,32,54,4,5,6,4,-
20200421-110926851-001-003,20200421-110926851-001,2,56432,1,11:12:17,0,0,3,CONF,DTWT,2,32,43,4,87,2,3,rdfhjfh
20200421-115958512-002-001,20200421-115958512-002,,12345,1,12:02:08,42.87904,-97.39312,2,CONF,DTWT,2,,,3,,,,-
20200421-115958512-002-002,20200421-115958512-002,,43256,1,12:02:37,42.87912,-97.39313,3,CONF,FMCD,,12,3,,,,,-
20200421-115958512-002-003,20200421-115958512-002,,43256,1,12:03:04,42.87914,-97.3932,2,,,,,,,7,43,50,fhkff
20200421-120357457-003-001,20200421-120357457-003,21,23456,5,12:04:34,42.87913,-97.39311,1,CONF,FMCD,,,3,,,,,-
20200421-120357457-003-002,20200421-120357457-003,,23456,5,12:05:55,42.87912,-97.39313,1,,,,,,,,,,-
20200421-120357457-003-003,20200421-120357457-003,,23456,5,12:06:17,42.87912,-97.39312,1,,,,,,,,,,-
20200421-120357457-003-004,20200421-120357457-003,,23456,5,12:06:30,42.87913,-97.39315,1,DTWT,,,4,,,,,,-
