SITE_ID,F_FID,MR_FID,PANEL_HOOK,BAIT,SPECIES,LENGTH,WEIGHT,COUNT_F,FIN_CURL,OTOLITH,RAY_SPINE,SCALE,FT_PREFIX,FLOY_TAG,M_R,COMMENTS
10482,20210224-103150775-001-001,20210224-103150775-001,,,PDSG,1200,400,1,,,,,D,111111,G,-
10482,20210224-103150775-001-002,20210224-103150775-001,,,PDFH,1500,550,1,,,,,W,121212,M,-
0,20210224-134207078-002-001,20210224-134207078-002,,,PDSG,40,20,1,Y,M,,,M,123123,M,-
0,20210225-155935643-003-001,20210225-155935643-003,,,PDSG,50,10,1,Y,,,,D,123456,M,-
0,20210301-092905379-004-001,20210301-092905379-004,,,PDSG,40,10,1,Y,D,,,F,454545,M,-
0,20210301-123854058-005-001,20210301-123854058-005,30,W,LKSG,60,20,1,Y,,,,D,656565,D,-
0,20210301-132656732-006-001,20210301-132656732-006,,,PDSG,45,20,1,Y,,,,M,123123,L,-
0,20210301-133754621-007-001,20210301-133754621-007,,,PDSG,45,2,1,N,,,,G,456789,G,-
0,20210301-135007403-008-001,20210301-135007403-008,30,W,PDSG,60,21,1,Y,,,,C,258258,M,-
0,20210301-092905379-004-002,20210301-092905379-004,,,PDSG,30,15,1,N,,,,F,254254,M,-
